('? Butterfly Knife | Case Hardened', '330', '1'),
('? Butterfly Knife | Case Hardened', '398', '1'),
('? Butterfly Knife | Case Hardened', '488', '1'),
('? Butterfly Knife | Case Hardened', '194', '1'),
('? Butterfly Knife | Case Hardened', '371', '1'),
('? Butterfly Knife | Case Hardened', '283', '1'),
('? Butterfly Knife | Case Hardened', '29', '1'),
('? Butterfly Knife | Case Hardened', '214', '2'),
('? Falchion Knife | Case Hardened', '494', '1'),
('? Falchion Knife | Case Hardened', '330', '1'),
('? Falchion Knife | Case Hardened', '194', '1'),
('? Falchion Knife | Case Hardened', '398', '2'),
('? Falchion Knife | Case Hardened', '283', '2'),
('? Falchion Knife | Case Hardened', '130', '2'),
('? Falchion Knife | Case Hardened', '426', '2'),
('? Falchion Knife | Case Hardened', '335', '2'),
('? Falchion Knife | Case Hardened', '92', '2'),
('? Falchion Knife | Case Hardened', '214', '2'),
('? Falchion Knife | Case Hardened', '282', '2'),
('? Falchion Knife | Case Hardened', '256', '2'),
('? Falchion Knife | Case Hardened', '182', '2'),
('? Falchion Knife | Case Hardened', '61', '2'),
('? Flip Knife | Case Hardened', '670', '1'),
('? Flip Knife | Case Hardened', '321', '1'),
('? Flip Knife | Case Hardened', '661', '1'),
('? Flip Knife | Case Hardened', '151', '1'),
('? Flip Knife | Case Hardened', '555', '1'),
('? Flip Knife | Case Hardened', '592', '1'),
('? Flip Knife | Case Hardened', '955', '2'),
('? Flip Knife | Case Hardened', '179', '2'),
('? Flip Knife | Case Hardened', '760', '1'),
('? Flip Knife | Case Hardened', '387', '1'),
('? Flip Knife | Case Hardened', '828', '2'),
('? Flip Knife | Case Hardened', '791', '2'),
('? Flip Knife | Case Hardened', '844', '2'),
('? Flip Knife | Case Hardened', '868', '2'),
('? Flip Knife | Case Hardened', '168', '2'),
('? Flip Knife | Case Hardened', '479', '3'),
('? Flip Knife | Case Hardened', '905', '2'),
('? Flip Knife | Case Hardened', '809', '2'),
('? Flip Knife | Case Hardened', '28', '3'),
('? Flip Knife | Case Hardened', '996', '2'),
('? Flip Knife | Case Hardened', '617', '2'),
('? Flip Knife | Case Hardened', '892', '2'),
('? Flip Knife | Case Hardened', '526', '3'),
('? Flip Knife | Case Hardened', '750', '3'),
('? Flip Knife | Case Hardened', '189', '3'),
('? Flip Knife | Case Hardened', '532', '2'),
('? Flip Knife | Case Hardened', '363', '2'),
('? Flip Knife | Case Hardened', '103', '3'),
('? Flip Knife | Case Hardened', '969', '2'),
('? Flip Knife | Case Hardened', '74', '3'),
('? Flip Knife | Case Hardened', '770', '2'),
